Engine Size,Cylinders,Horsepower,Vehicle Weight,Acceleration,Model Year,Fuel Type,Transmission,Fuel Consumption
1.7,4,151.0,1383.0,6.5,2018,Petrol,Automatic,3.45
3.5,6,288.0,2055.0,4.5,2018,Petrol,Manual,11.09
3.4,8,293.0,2024.0,3.5,2012,Diesel,Manual,8.63
4.4,8,334.0,2054.0,3.5,2018,Petrol,Manual,10.93
4.8,8,349.0,2425.0,3.5,2021,Plug-in Hybrid,Manual,7.42
3.0,8,282.0,2038.0,4.0,2018,Petrol,Manual,8.66
2.4,4,152.0,1627.0,6.0,2015,Diesel,Automatic,5.34
2.2,4,150.0,1612.0,7.4,2018,Petrol,Automatic,6.55
1.9,4,145.0,1759.0,8.9,2019,Diesel,Automatic,4.1
1.3,4,144.0,1626.0,7.5,2014,Diesel,Manual,3.43
2.5,6,217.0,1638.0,4.6,2024,Petrol,Automatic,7.3
2.2,4,150.0,1721.0,7.5,2021,Plug-in Hybrid,Manual,3.2
5.3,8,381.0,2410.0,3.5,2013,Hybrid,Automatic,11.47
3.5,8,276.0,2100.0,4.5,2018,Plug-in Hybrid,Automatic,5.26
2.6,6,201.0,1535.0,4.1,2016,Hybrid,Automatic,5.25
3.6,6,290.0,1898.0,3.8,2016,Diesel,Manual,8.91
1.6,4,109.0,1320.0,8.9,2016,Plug-in Hybrid,Automatic,3.2
3.0,6,269.0,1909.0,3.6,2018,Petrol,Automatic,8.97
3.8,6,298.0,2083.0,4.1,2020,Petrol,Automatic,10.4
3.2,6,270.0,1597.0,3.5,2022,Petrol,Automatic,8.2
2.8,8,241.0,1911.0,5.4,2019,Petrol,Automatic,7.6
5.5,8,396.0,2535.0,3.5,2017,Petrol,Automatic,15.09
5.0,8,342.0,2288.0,3.9,2018,Petrol,Manual,12.4
3.8,6,271.0,2041.0,4.2,2020,Hybrid,Automatic,8.05
3.6,6,280.0,1960.0,3.6,2022,Petrol,Automatic,9.84
3.8,6,307.0,1995.0,4.5,2017,Petrol,Automatic,9.37
1.9,4,130.0,1439.0,7.9,2012,Diesel,Automatic,3.61
2.8,8,243.0,1768.0,4.0,2015,Petrol,Automatic,7.65
1.2,3,99.0,1141.0,6.7,2019,Hybrid,Automatic,3.2
3.1,6,215.0,1913.0,6.9,2018,Petrol,Automatic,7.54
3.4,6,271.0,1884.0,3.5,2014,Plug-in Hybrid,Automatic,5.7
2.0,4,144.0,1473.0,6.6,2021,Hybrid,Manual,3.2
5.3,8,384.0,2313.0,3.5,2014,Petrol,Manual,14.03
5.1,8,367.0,2291.0,3.5,2022,Petrol,Manual,12.47
4.2,8,311.0,2292.0,4.8,2014,Hybrid,Automatic,8.94
3.4,6,259.0,1842.0,3.9,2023,Diesel,Automatic,8.37
4.9,8,361.0,2131.0,3.5,2012,Diesel,Automatic,11.93
1.6,4,129.0,1507.0,7.7,2021,Hybrid,Automatic,3.2
4.6,8,334.0,2213.0,3.5,2012,Petrol,Manual,12.09
1.6,6,166.0,1562.0,6.6,2017,Petrol,Automatic,4.97
4.6,8,382.0,2431.0,3.5,2012,Petrol,Automatic,14.06
2.2,4,172.0,1524.0,6.6,2016,Hybrid,Automatic,3.66
4.9,8,385.0,2327.0,3.5,2015,Diesel,Manual,12.53
5.2,8,354.0,2205.0,3.5,2016,Petrol,Automatic,13.46
1.7,4,145.0,1410.0,7.2,2018,Petrol,Automatic,4.7
3.1,6,221.0,1901.0,5.7,2017,Petrol,Automatic,8.84
5.4,8,363.0,2195.0,3.5,2023,Petrol,Automatic,12.78
3.2,8,257.0,2010.0,4.7,2020,Diesel,Automatic,8.17
4.9,8,389.0,2304.0,3.5,2017,Diesel,Automatic,12.55
3.6,6,289.0,1923.0,3.8,2020,Hybrid,Automatic,6.81
2.7,6,225.0,1880.0,5.4,2015,Diesel,Automatic,7.82
2.3,6,168.0,1724.0,6.5,2012,Petrol,Automatic,7.76
1.9,4,149.0,1649.0,7.8,2012,Diesel,Automatic,4.86
4.4,8,344.0,2083.0,3.5,2021,Hybrid,Automatic,8.86
2.7,6,224.0,1772.0,5.1,2018,Diesel,Manual,6.31
3.3,6,217.0,1874.0,6.4,2024,Hybrid,Manual,4.68
3.2,6,230.0,1718.0,5.1,2024,Diesel,Automatic,7.27
3.6,8,293.0,2173.0,4.0,2024,Diesel,Automatic,8.87
4.9,8,376.0,2571.0,3.5,2014,Petrol,Automatic,13.77
5.4,12,397.0,2660.0,3.5,2013,Petrol,Automatic,14.73
2.8,6,223.0,1835.0,5.8,2017,Petrol,Manual,7.31
4.7,8,357.0,2266.0,3.6,2017,Petrol,Automatic,12.94
4.4,8,355.0,2116.0,3.5,2024,Diesel,Manual,9.47
3.6,6,284.0,1700.0,3.5,2018,Petrol,Automatic,9.62
5.3,12,447.0,2559.0,3.5,2016,Diesel,Automatic,13.98
1.9,6,161.0,1445.0,6.4,2019,Plug-in Hybrid,Manual,3.2
1.5,4,92.0,1604.0,10.5,2018,Petrol,Manual,3.63
4.8,8,352.0,2260.0,3.5,2013,Petrol,Manual,12.22
3.0,6,257.0,1768.0,4.0,2012,Hybrid,Manual,6.81
4.8,8,388.0,2381.0,3.5,2024,Petrol,Automatic,12.01
5.0,12,433.0,2455.0,3.5,2020,Petrol,Manual,12.79
1.3,3,116.0,1202.0,7.1,2016,Petrol,Automatic,4.72
5.0,8,379.0,2318.0,3.5,2023,Petrol,Manual,12.91
3.0,8,250.0,2073.0,5.3,2022,Plug-in Hybrid,Automatic,4.51
3.3,6,251.0,1924.0,3.9,2016,Hybrid,Manual,6.27
3.8,8,338.0,2124.0,3.5,2023,Diesel,Automatic,9.16
5.2,8,363.0,2355.0,3.6,2021,Hybrid,Automatic,9.96
1.1,3,129.0,1306.0,5.9,2015,Hybrid,Automatic,3.2
3.1,6,236.0,1852.0,5.5,2013,Petrol,Manual,8.67
4.1,8,348.0,2024.0,3.5,2016,Hybrid,Automatic,7.98
4.3,8,304.0,2190.0,4.6,2013,Diesel,Automatic,10.18
4.1,8,333.0,2019.0,3.5,2023,Hybrid,Automatic,6.83
1.6,6,145.0,1568.0,7.6,2018,Hybrid,Automatic,3.2
2.3,6,170.0,1626.0,6.5,2022,Petrol,Manual,5.69
2.6,6,219.0,2043.0,7.2,2020,Petrol,Automatic,8.59
4.6,8,369.0,2233.0,3.5,2020,Petrol,Manual,12.16
2.3,6,182.0,1515.0,5.9,2022,Petrol,Automatic,5.68
1.9,4,123.0,1456.0,8.8,2017,Hybrid,Automatic,3.2
5.3,8,386.0,2426.0,3.5,2012,Hybrid,Manual,11.5
1.0,3,89.0,1441.0,11.3,2024,Petrol,Manual,3.2
5.5,8,409.0,2329.0,3.5,2017,Diesel,Automatic,13.11
4.0,6,311.0,1800.0,3.5,2016,Petrol,Automatic,10.74
4.7,12,401.0,2634.0,3.5,2015,Petrol,Manual,13.69
2.3,4,212.0,1378.0,3.7,2023,Petrol,Automatic,5.89
1.1,4,113.0,1276.0,7.9,2017,Petrol,Manual,3.2
4.3,8,326.0,2153.0,3.5,2017,Plug-in Hybrid,Manual,6.61
4.8,8,328.0,2266.0,4.4,2017,Petrol,Manual,11.64
4.3,8,327.0,2267.0,3.5,2013,Diesel,Automatic,11.94
1.6,4,129.0,1336.0,6.4,2018,Diesel,Manual,3.2
4.4,8,357.0,2169.0,3.5,2015,Petrol,Automatic,12.29
4.5,8,353.0,2218.0,3.5,2024,Plug-in Hybrid,Automatic,7.04
4.0,8,292.0,2148.0,5.1,2023,Plug-in Hybrid,Automatic,6.07
4.4,12,389.0,2494.0,3.5,2020,Petrol,Automatic,13.42
4.8,8,373.0,2326.0,3.5,2021,Diesel,Manual,11.35
3.8,6,312.0,2055.0,3.5,2013,Petrol,Manual,11.33
1.4,3,131.0,1359.0,7.0,2016,Petrol,Manual,3.93
3.2,6,263.0,1900.0,3.9,2015,Petrol,Automatic,9.56
1.3,4,121.0,1174.0,6.7,2020,Diesel,Automatic,3.2
2.8,6,234.0,1780.0,4.7,2015,Diesel,Automatic,7.15
2.8,6,251.0,1832.0,4.6,2019,Petrol,Manual,8.54
1.3,4,93.0,1451.0,9.4,2019,Petrol,Automatic,3.83
2.6,8,232.0,1795.0,4.9,2017,Plug-in Hybrid,Manual,3.99
1.5,4,115.0,1321.0,7.9,2017,Petrol,Automatic,4.06
4.6,8,357.0,2169.0,3.5,2022,Petrol,Automatic,11.53
5.3,8,412.0,2428.0,3.5,2019,Diesel,Manual,12.56
1.3,3,96.0,1418.0,9.3,2023,Plug-in Hybrid,Automatic,3.2
5.3,8,340.0,2315.0,3.5,2024,Petrol,Manual,12.52
3.4,6,251.0,1991.0,5.1,2023,Diesel,Manual,7.28
2.3,4,193.0,1559.0,5.3,2021,Hybrid,Automatic,3.21
1.3,4,130.0,1349.0,7.0,2020,Petrol,Automatic,4.09
3.3,8,286.0,1979.0,4.4,2016,Diesel,Automatic,8.94
4.6,8,343.0,2328.0,3.5,2022,Petrol,Manual,12.3
4.2,8,301.0,2205.0,3.8,2012,Diesel,Automatic,10.48
1.2,4,124.0,1619.0,10.4,2012,Diesel,Automatic,3.43
1.3,3,91.0,1192.0,8.2,2013,Diesel,Automatic,3.2
2.8,6,270.0,1836.0,3.5,2021,Petrol,Manual,7.91
2.3,4,186.0,1480.0,5.5,2021,Hybrid,Automatic,3.2
2.0,4,146.0,1386.0,5.4,2016,Petrol,Manual,5.71
2.3,4,162.0,1543.0,6.5,2015,Petrol,Manual,6.37
4.6,8,347.0,2254.0,4.2,2012,Petrol,Automatic,12.52
5.2,8,377.0,2696.0,3.5,2015,Diesel,Automatic,12.72
2.8,6,248.0,1752.0,3.5,2015,Diesel,Manual,7.1
5.1,12,428.0,2472.0,3.5,2021,Petrol,Automatic,13.64
2.4,4,165.0,1595.0,7.3,2015,Diesel,Manual,4.1
3.1,8,304.0,1719.0,3.5,2012,Petrol,Automatic,9.38
2.0,4,159.0,1479.0,6.1,2020,Diesel,Automatic,4.42
3.9,8,326.0,2114.0,3.5,2014,Petrol,Manual,11.11
5.4,12,429.0,2757.0,3.7,2024,Diesel,Automatic,13.88
3.7,6,283.0,2053.0,5.2,2015,Petrol,Automatic,9.48
2.6,6,221.0,1678.0,4.5,2016,Plug-in Hybrid,Automatic,4.02
3.9,8,273.0,2094.0,3.5,2024,Petrol,Automatic,9.92
1.6,4,176.0,1326.0,4.1,2024,Petrol,Automatic,4.53
5.0,8,397.0,2175.0,3.5,2018,Petrol,Automatic,12.37
3.3,6,246.0,1901.0,4.6,2017,Plug-in Hybrid,Manual,4.68
3.0,8,239.0,1797.0,4.4,2016,Hybrid,Automatic,4.99
3.6,8,301.0,2008.0,3.9,2019,Petrol,Manual,10.18
3.8,6,283.0,1835.0,3.7,2012,Diesel,Automatic,8.55
1.3,4,127.0,1430.0,7.7,2018,Hybrid,Manual,3.2
4.1,8,325.0,2364.0,4.8,2023,Diesel,Automatic,9.33
2.1,4,174.0,1352.0,5.1,2017,Diesel,Manual,3.87
4.2,12,404.0,2224.0,3.5,2022,Petrol,Automatic,12.34
4.7,8,366.0,2241.0,3.5,2016,Petrol,Automatic,13.53
4.6,8,328.0,2240.0,3.6,2018,Hybrid,Automatic,9.05
3.5,6,292.0,1926.0,4.4,2014,Plug-in Hybrid,Automatic,5.77
3.3,8,310.0,1950.0,3.5,2012,Diesel,Automatic,9.39
1.6,4,199.0,1394.0,3.5,2020,Petrol,Automatic,5.45
4.5,8,321.0,2264.0,3.8,2013,Petrol,Manual,12.43
2.2,4,174.0,1651.0,6.9,2024,Diesel,Automatic,4.35
3.2,6,206.0,1611.0,5.7,2021,Hybrid,Automatic,4.5
2.3,4,186.0,1500.0,5.2,2014,Hybrid,Automatic,3.32
1.6,4,125.0,1444.0,7.2,2019,Hybrid,Manual,3.2
3.8,6,319.0,1844.0,3.5,2023,Diesel,Automatic,8.89
1.2,4,99.0,1554.0,10.2,2021,Petrol,Automatic,3.2
4.4,12,352.0,2406.0,3.5,2020,Petrol,Automatic,11.51
2.4,6,195.0,1697.0,5.9,2024,Hybrid,Manual,3.2
1.0,3,70.0,1307.0,9.5,2014,Diesel,Manual,3.2
3.3,8,293.0,1933.0,3.5,2017,Petrol,Automatic,10.4
1.2,4,73.0,1124.0,9.1,2018,Petrol,Manual,3.2
2.2,4,170.0,1475.0,6.3,2012,Diesel,Manual,5.07
4.2,8,285.0,2290.0,5.2,2018,Petrol,Automatic,11.55
1.3,3,101.0,1254.0,7.7,2015,Petrol,Manual,4.25
4.8,8,393.0,2172.0,3.5,2016,Diesel,Automatic,10.95
1.0,4,110.0,1421.0,7.8,2019,Diesel,Automatic,3.2
2.1,4,146.0,1468.0,7.2,2015,Diesel,Automatic,3.53
4.3,8,332.0,2123.0,3.5,2015,Petrol,Automatic,11.64
2.4,4,180.0,1580.0,5.7,2019,Diesel,Automatic,5.66
1.5,4,140.0,1492.0,7.8,2016,Petrol,Manual,4.3
2.6,6,188.0,2024.0,7.8,2024,Petrol,Automatic,6.41
2.2,6,205.0,1765.0,6.6,2017,Diesel,Automatic,5.72
4.8,12,354.0,2693.0,4.6,2023,Diesel,Automatic,11.82
2.4,4,167.0,1501.0,6.3,2022,Hybrid,Manual,3.2
4.6,8,339.0,2115.0,3.5,2016,Diesel,Automatic,10.65
5.0,8,384.0,2317.0,3.5,2012,Diesel,Automatic,12.63
3.0,8,261.0,1963.0,4.8,2018,Petrol,Automatic,9.34
5.1,8,348.0,2199.0,3.5,2017,Petrol,Automatic,12.68
2.7,6,201.0,1735.0,4.7,2013,Petrol,Manual,7.47
5.3,8,391.0,2412.0,3.5,2022,Petrol,Manual,14.05
1.4,4,123.0,1425.0,8.2,2018,Plug-in Hybrid,Automatic,3.2
4.1,8,310.0,2209.0,3.6,2017,Petrol,Manual,11.31
3.2,8,262.0,2021.0,4.0,2016,Hybrid,Automatic,7.12
2.7,6,234.0,1695.0,5.0,2019,Diesel,Manual,5.17
3.8,6,271.0,1892.0,4.1,2016,Hybrid,Automatic,7.25
4.2,12,373.0,2302.0,3.5,2022,Diesel,Automatic,9.78
1.0,4,146.0,1524.0,6.6,2013,Diesel,Automatic,3.56
1.8,4,119.0,1456.0,7.9,2017,Diesel,Manual,3.8
4.2,8,290.0,2139.0,5.1,2023,Petrol,Automatic,10.02
4.0,6,308.0,1879.0,3.5,2012,Diesel,Automatic,9.04
5.3,12,422.0,2800.0,3.5,2016,Petrol,Automatic,16.15
4.4,8,332.0,2073.0,3.5,2017,Petrol,Manual,10.88
5.3,12,420.0,2593.0,3.5,2018,Diesel,Automatic,12.56
4.2,8,322.0,2216.0,4.5,2013,Petrol,Manual,12.38
2.3,4,206.0,1616.0,5.8,2012,Plug-in Hybrid,Manual,3.2
1.5,3,135.0,1445.0,7.2,2017,Plug-in Hybrid,Automatic,3.2
4.5,8,361.0,2437.0,3.5,2014,Plug-in Hybrid,Manual,8.62
3.9,6,258.0,2033.0,3.5,2016,Petrol,Automatic,11.2
1.2,3,79.0,1149.0,8.5,2023,Petrol,Manual,3.2
2.6,6,158.0,1707.0,6.8,2022,Plug-in Hybrid,Automatic,3.2
5.3,12,419.0,2681.0,3.5,2024,Petrol,Manual,13.43
3.3,6,273.0,2112.0,4.6,2013,Plug-in Hybrid,Manual,5.31
2.9,8,266.0,1764.0,3.5,2012,Plug-in Hybrid,Manual,3.58
3.1,6,238.0,1972.0,5.3,2012,Hybrid,Manual,6.67
1.9,4,152.0,1494.0,7.2,2024,Petrol,Automatic,4.95
2.7,6,207.0,1857.0,6.5,2022,Petrol,Automatic,6.84
2.7,6,225.0,1744.0,3.7,2015,Hybrid,Manual,4.33
1.2,4,129.0,1245.0,6.7,2021,Petrol,Automatic,3.71
4.5,8,311.0,2310.0,3.6,2024,Petrol,Automatic,12.31
2.9,6,237.0,1871.0,5.5,2013,Diesel,Manual,7.1
4.7,8,373.0,2373.0,3.5,2012,Plug-in Hybrid,Manual,8.57
4.8,8,352.0,2272.0,3.5,2017,Diesel,Manual,10.71
2.0,4,172.0,1418.0,4.9,2015,Diesel,Automatic,5.37
4.0,8,372.0,1943.0,3.5,2021,Petrol,Manual,10.17
3.1,8,264.0,2066.0,3.6,2024,Diesel,Automatic,7.49
5.0,8,379.0,2361.0,3.5,2023,Plug-in Hybrid,Manual,8.6
2.0,4,143.0,1374.0,6.5,2018,Petrol,Automatic,5.54
4.1,8,325.0,2083.0,3.5,2022,Diesel,Manual,9.02
3.7,6,285.0,1880.0,3.5,2017,Hybrid,Manual,6.56
2.3,4,178.0,1366.0,4.4,2016,Diesel,Automatic,5.73
1.6,4,116.0,1320.0,7.0,2021,Diesel,Manual,3.2
3.9,6,291.0,1836.0,3.5,2023,Diesel,Automatic,8.25
4.3,8,362.0,2135.0,3.5,2024,Petrol,Manual,10.28
2.4,4,189.0,1473.0,5.5,2023,Petrol,Manual,6.16
3.9,6,306.0,1777.0,3.5,2023,Hybrid,Automatic,6.55
2.8,6,221.0,2017.0,6.4,2023,Hybrid,Manual,4.25
4.2,8,342.0,2316.0,3.5,2013,Hybrid,Manual,9.62
1.9,6,182.0,1519.0,4.8,2016,Plug-in Hybrid,Automatic,3.2
5.0,8,352.0,2343.0,3.5,2020,Diesel,Automatic,11.87
2.3,4,181.0,1594.0,6.3,2020,Diesel,Manual,4.38
2.7,6,201.0,1899.0,5.8,2013,Hybrid,Manual,4.58
1.3,4,107.0,1266.0,8.6,2018,Diesel,Manual,3.2
1.5,4,134.0,1531.0,7.4,2021,Diesel,Manual,3.2
3.3,6,259.0,1798.0,3.5,2015,Hybrid,Automatic,6.37
2.2,4,145.0,1366.0,6.9,2024,Hybrid,Manual,3.2
4.8,8,381.0,2361.0,3.5,2024,Petrol,Automatic,12.7
1.1,4,120.0,1483.0,8.5,2014,Petrol,Automatic,3.79
2.7,6,206.0,2067.0,6.8,2022,Petrol,Automatic,6.67
2.5,6,179.0,1576.0,6.1,2012,Diesel,Automatic,6.77
1.1,4,106.0,1412.0,7.4,2014,Petrol,Automatic,4.36
1.6,6,151.0,1509.0,5.9,2022,Diesel,Automatic,4.44
2.9,6,234.0,1886.0,5.6,2020,Diesel,Manual,5.99
3.2,6,241.0,1670.0,4.3,2020,Petrol,Automatic,8.49
2.8,6,186.0,1622.0,5.4,2018,Diesel,Automatic,6.34
3.4,8,275.0,1929.0,3.7,2014,Petrol,Automatic,10.0
3.7,6,269.0,1945.0,4.3,2024,Petrol,Automatic,8.67
1.0,4,116.0,1233.0,7.9,2014,Hybrid,Automatic,3.2
3.1,6,229.0,1907.0,4.3,2015,Petrol,Automatic,9.42
5.3,8,421.0,2487.0,3.5,2018,Petrol,Automatic,14.61
3.3,8,239.0,2076.0,5.7,2018,Diesel,Manual,7.59
4.0,6,318.0,2184.0,4.0,2023,Hybrid,Automatic,8.26
2.4,6,200.0,1752.0,7.4,2023,Petrol,Automatic,6.77
4.5,8,361.0,2074.0,3.5,2013,Diesel,Automatic,10.89
4.5,12,393.0,2664.0,3.5,2023,Petrol,Manual,12.1
3.3,6,276.0,1791.0,3.5,2016,Petrol,Automatic,9.57
5.4,8,385.0,2491.0,3.7,2018,Diesel,Automatic,12.47
1.6,6,138.0,1747.0,8.6,2018,Diesel,Automatic,3.98
1.1,3,125.0,1313.0,6.8,2017,Diesel,Automatic,3.24
4.5,12,389.0,2320.0,3.5,2021,Diesel,Automatic,11.33
4.6,8,353.0,2128.0,3.5,2021,Plug-in Hybrid,Automatic,8.05
1.5,4,155.0,1559.0,6.4,2023,Diesel,Automatic,3.2
2.2,4,148.0,1506.0,7.4,2019,Petrol,Automatic,6.06
1.1,4,120.0,1338.0,8.4,2014,Hybrid,Automatic,3.2
2.3,4,163.0,1635.0,7.7,2012,Petrol,Manual,6.43
4.5,8,341.0,2304.0,3.5,2014,Petrol,Manual,13.48
3.3,6,255.0,1897.0,4.2,2022,Petrol,Manual,8.12
2.6,6,185.0,1713.0,7.1,2013,Petrol,Manual,6.82
2.7,8,229.0,1858.0,4.5,2013,Plug-in Hybrid,Automatic,4.61
1.0,4,130.0,1413.0,7.9,2013,Hybrid,Automatic,3.2
2.3,4,192.0,1610.0,4.7,2016,Diesel,Automatic,5.37
3.9,8,309.0,2081.0,4.0,2024,Petrol,Automatic,10.51
5.4,8,398.0,2512.0,3.5,2012,Petrol,Manual,14.75
4.8,8,354.0,2259.0,3.5,2021,Petrol,Automatic,12.15
1.1,4,136.0,1226.0,6.5,2015,Petrol,Manual,3.84
5.0,12,415.0,2499.0,3.5,2021,Diesel,Automatic,12.67
4.5,8,348.0,2103.0,3.5,2016,Diesel,Manual,10.18
4.5,8,366.0,2187.0,3.5,2013,Diesel,Automatic,11.67
3.1,6,227.0,1976.0,6.4,2016,Petrol,Automatic,8.42
2.8,8,281.0,1817.0,3.5,2021,Plug-in Hybrid,Automatic,3.81
2.4,4,149.0,1585.0,7.3,2015,Diesel,Automatic,5.57
1.3,4,152.0,1285.0,5.7,2019,Diesel,Automatic,3.27
2.0,4,151.0,1459.0,6.3,2012,Diesel,Automatic,3.95
2.1,4,159.0,1327.0,6.5,2023,Petrol,Manual,4.35
3.2,6,210.0,1820.0,5.9,2016,Petrol,Automatic,8.73
4.4,12,377.0,2459.0,3.5,2022,Petrol,Automatic,12.57
3.1,6,222.0,1893.0,5.9,2023,Hybrid,Automatic,5.34
1.3,4,107.0,1391.0,8.5,2021,Petrol,Manual,3.26
5.3,8,385.0,2220.0,3.5,2012,Petrol,Automatic,13.97
5.2,8,401.0,2476.0,3.5,2021,Petrol,Automatic,13.68
4.5,8,348.0,2245.0,3.5,2021,Petrol,Automatic,12.48
5.5,8,405.0,2424.0,3.5,2015,Hybrid,Automatic,12.01
3.5,6,243.0,1899.0,5.1,2019,Diesel,Manual,7.62
5.3,8,370.0,2302.0,3.5,2012,Diesel,Automatic,12.8
1.3,4,155.0,1390.0,6.1,2022,Petrol,Automatic,4.0
2.6,8,224.0,1935.0,5.8,2013,Diesel,Manual,6.68
2.0,6,215.0,1420.0,3.5,2012,Diesel,Automatic,6.17
1.9,4,148.0,1407.0,7.0,2022,Petrol,Automatic,5.2
1.6,4,136.0,1387.0,7.4,2018,Petrol,Automatic,4.31
3.8,6,302.0,1985.0,4.0,2013,Petrol,Manual,10.62
4.5,8,369.0,2363.0,3.5,2012,Diesel,Automatic,12.21
3.6,6,268.0,1825.0,3.5,2023,Diesel,Manual,7.64
1.7,4,134.0,1376.0,7.7,2017,Petrol,Automatic,4.92
4.7,8,353.0,2194.0,3.5,2017,Petrol,Automatic,12.04
3.9,6,293.0,1876.0,3.5,2021,Diesel,Automatic,8.13
2.7,6,238.0,1714.0,3.8,2013,Diesel,Manual,7.4
4.0,8,316.0,2222.0,3.5,2012,Hybrid,Automatic,9.8
2.2,6,205.0,1540.0,4.7,2021,Diesel,Manual,4.0
2.6,6,248.0,1789.0,3.5,2014,Petrol,Manual,8.3
5.1,8,384.0,2124.0,3.5,2021,Petrol,Automatic,13.03
2.3,6,205.0,1617.0,4.9,2016,Diesel,Automatic,4.79
3.1,8,236.0,1928.0,5.4,2017,Petrol,Automatic,8.36
5.0,8,318.0,2511.0,4.8,2014,Diesel,Automatic,12.06
4.2,8,335.0,2133.0,3.5,2020,Plug-in Hybrid,Manual,6.36
1.3,3,106.0,1030.0,6.3,2022,Diesel,Manual,3.2
1.7,4,131.0,1196.0,6.5,2016,Petrol,Automatic,5.25
1.0,3,96.0,1244.0,9.1,2024,Diesel,Automatic,3.2
3.8,6,280.0,2028.0,4.1,2013,Diesel,Manual,9.17
3.0,6,260.0,1855.0,4.7,2021,Diesel,Automatic,6.95
1.6,4,138.0,1438.0,7.5,2017,Plug-in Hybrid,Manual,3.2
5.3,8,373.0,2503.0,3.5,2023,Petrol,Automatic,13.52
3.4,6,279.0,1817.0,3.5,2019,Plug-in Hybrid,Manual,5.82
2.1,4,159.0,1615.0,6.3,2022,Plug-in Hybrid,Automatic,3.2
3.3,6,264.0,1668.0,3.5,2017,Petrol,Automatic,8.29
4.1,8,312.0,2039.0,3.7,2015,Petrol,Automatic,10.93
1.3,4,107.0,1147.0,7.9,2017,Petrol,Automatic,3.2
2.2,4,171.0,1493.0,6.8,2019,Petrol,Automatic,5.27
4.6,8,349.0,2232.0,3.5,2019,Petrol,Manual,11.32
3.1,8,276.0,1982.0,4.9,2024,Diesel,Manual,6.88
3.5,6,259.0,1907.0,4.2,2021,Petrol,Automatic,8.91
2.9,8,219.0,1821.0,6.4,2013,Petrol,Automatic,8.05
1.2,3,93.0,1253.0,8.9,2019,Hybrid,Automatic,3.2
1.7,4,157.0,1256.0,5.5,2017,Petrol,Automatic,4.71
3.0,6,231.0,1974.0,6.6,2013,Hybrid,Automatic,5.88
1.9,4,148.0,1436.0,6.7,2012,Petrol,Automatic,6.22
1.2,4,134.0,1287.0,6.8,2017,Petrol,Automatic,3.9
